a_walk,acor_1.rho,acor_2.rho,acor_3.rho,acor_1.phi,acor_2.phi,acor_3.phi,dos.min,dos.max,dos.mean,dos.std,fdc_cor,fn_cor,n_deg.min,n_deg.max,n_deg.mean,n_deg.std,n_walk.min,n_walk.max,n_walk.mean,n_walk.std
0.625,-0.231078,0.563948,-0.230867,-0.231078,0.539351,-0.0688365,0.0,81.0,8.72,16.4469,-0.368862,-0.00780752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.70625,-0.187356,0.800084,-0.186515,-0.187356,0.792811,-0.0193052,0.0,2012690000.0,232721000.0,643605000.0,0.00335626,-0.201267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7275,-0.624994,0.848142,-0.626782,-0.624994,0.750801,-0.0956806,0.0,3568660000.0,254702000.0,605824000.0,0.258154,-0.405667,0.0,29.0,0.235,2.28687,0.0,0.0,0.0,0.0
1.424,-0.574776,0.682102,-0.612708,-0.574776,0.525266,-0.257128,0.0,1951040000.0,302439000.0,656209000.0,0.0973308,-0.301528,0.0,29.0,3.862,9.22339,0.0,0.0,0.0,0.0
3.65,-0.596569,0.712988,-0.531302,-0.596569,0.554402,-0.0247224,0.0,12.0,4.38375,3.54175,-0.0395204,-0.330824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.65,-0.2429,0.451826,-0.239555,-0.2429,0.417456,-0.0955212,0.0,81.0,8.915,16.389,-0.197935,-0.0335516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.809375,-0.157299,0.640716,-0.156312,-0.157299,0.631601,-0.0338319,0.0,2640860000.0,321860000.0,863934000.0,0.00100908,-0.184161,0.0,0.0,0.0,0.0,0.0,25.0,14.923,4.07217
0.7275,-0.737154,0.888932,-0.739802,-0.737154,0.756751,-0.115638,0.0,3527420000.0,502282000.0,1172930000.0,0.362953,-0.551835,0.0,12.0,0.06,0.846404,0.0,0.0,0.0,0.0
1.362,-0.623236,0.845496,-0.620768,-0.623236,0.747367,-0.0809656,0.0,3237860000.0,579591000.0,1073950000.0,0.152006,-0.314736,0.0,29.0,3.722,8.88778,0.0,0.0,0.0,0.0
3.535,-0.290947,0.431248,-0.270089,-0.290947,0.37865,-0.104527,0.0,65.0,3.86625,4.55257,-0.146708,-0.408061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.115,-0.376336,0.403648,-0.364726,-0.376336,0.305251,-0.185398,0.0,21898.0,116.5,1544.12,-0.274638,-0.217781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.690625,-0.230543,0.741767,-0.229974,-0.230543,0.727271,-0.0351271,0.0,159527000.0,18948300.0,51604500.0,-0.0475634,-0.182902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,-0.698508,0.860375,-0.697223,-0.698508,0.727341,-0.104931,0.0,4269620000.0,550753000.0,1212720000.0,0.264936,-0.527661,0.0,12.0,0.15,1.33323,0.0,30.0,17.8316,4.87699
1.388,-0.64178,0.715084,-0.709669,-0.64178,0.515546,-0.362371,0.0,1922950000.0,451910000.0,757950000.0,0.0102498,-0.377035,0.0,29.0,3.342,8.51499,0.0,0.0,0.0,0.0
5.98875,0.161212,0.346785,0.0829468,0.161212,0.329355,-0.00880106,0.0,65.0,3.86875,3.38327,0.375804,0.119385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.78,-0.157927,0.602112,-0.160287,-0.157927,0.591934,-0.0442076,0.0,81.0,5.65,13.8281,-0.281107,-0.0258898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
